Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist
"3,137.83283582",109.637008744,31.3783283582,"2,487.86666667","1,389.99731272",24.8786666667,"2,067.907","2,344.03419595",20.7829849246,"2,263.264",110.350586292,22.7463718593
"2,912.26865672",259.416819158,29.1226865672,"2,622.54427861",819.12224308,26.2254427861,"2,094.5295","2,217.35698713",21.0505477387,"2,267.8445",110.908650215,22.7924070352
"3,143.41791045",56.4809715394,31.4341791045,"2,730.40497512","1,661.39655329",27.3040497512,"2,004.753","2,178.68884329",20.1482713568,"2,185.707",145.033833613,21.9669045226
"3,036.79502488",314.730123105,30.3679502488,"2,511.31940299","1,416.94820175",25.1131940299,"2,069.3515","2,279.17626781",20.7975025126,"2,258.6525",125.8404686,22.7000251256
"3,034.46666667",213.006528454,30.3446666667,"2,643.73432836",883.102736513,26.4373432836,"2,016.937","2,250.36096071",20.2707236181,"2,198.511",147.900212965,22.0955879397
"2,434.38308458",139.997994378,24.3438308458,"2,496.96119403","1,225.04529062",24.9696119403,"2,060.852","2,301.56207186",20.712080402,"2,257.511",126.617376997,22.6885527638
"2,409.54228856",213.774690565,24.0954228856,"2,347.28955224","1,110.62214414",23.4728955224,"2,022.367","2,237.43301176",20.3252964824,"2,205.088",195.195469158,22.1616884422
"3,186.65870647",208.869569106,31.8665870647,"2,535.35024876","1,455.2780493",25.3535024876,"2,098.4825","2,206.04564974",21.0902763819,"2,276.5185",66.4788926653,22.8795829146
"3,209.83383085",79.6608046403,32.0983383085,"2,700.88059701",697.403941605,27.0088059701,"2,044.198","2,293.16525893",20.5447035176,"2,235.693",162.437482143,22.4692763819
"3,003.73333333",354.754464679,30.0373333333,"2,663.40597015","1,912.81712933",26.6340597015,"2,079.2295","2,336.47357437",20.8967788945,"2,276.8285",318.037630863,22.8826984925
"3,081.47363184",231.319696802,30.8147363184,"2,427.34029851",860.720882167,24.2734029851,"2,016.326","2,243.79559528",20.2645829146,"2,209.186",122.846457041,22.2028743719
"3,010.82587065",251.014830907,30.1082587065,"2,426.23084577","1,559.53647553",24.2623084577,"2,074.5065","2,243.58081048",20.8493115578,"2,253.1465",146.218751645,22.6446884422
"3,125.66169154",113.75162044,31.2566169154,"2,560.87064677","1,783.44598121",25.6087064677,"2,031.857","2,328.01871971",20.4206733668,"2,226.332",141.866219438,22.3751959799
"2,734.83283582",93.8634101968,27.3483283582,"2,442.86567164","1,796.60611166",24.4286567164,"1,989.962","2,305.68235235",19.9996180905,"2,187.283",162.720752495,21.9827437186
"3,103.92039801",126.47932647,31.0392039801,"2,759.46766169","1,531.62161732",27.5946766169,"2,074.465","2,304.31094501",20.8488944724,"2,265.809",143.735661398,22.7719497487
"3,304.48557214",279.425035504,33.0448557214,"2,590.45572139","1,630.98858683",25.9045572139,"2,063.5385","2,280.08792492",20.739080402,"2,244.5235",139.635281833,22.5580251256
"2,833.85870647",112.774103393,28.3385870647,"2,587.97014925","1,008.00228068",25.8797014925,"2,075.6775","2,279.81773783",20.861080402,"2,262.9375",134.438255484,22.7430904523
"3,302.63383085",87.8988973933,33.0263383085,"2,939.09651741",812.649376157,29.3909651741,"2,059.8335","2,231.45897883",20.7018442211,"2,236.1455",91.5241820095,22.4738241206
"2,891.32736318",281.731092489,28.9132736318,"2,425.97910448","1,130.97968068",24.2597910448,"2,048.5705","2,219.57135993",20.5886482412,"2,225.2845",76.9034515968,22.3646683417
"2,525.74527363",265.587387128,25.2574527363,"2,379.47164179","1,028.01447958",23.7947164179,"2,021.6275","2,197.52416707",20.3178643216,"2,194.7245",194.298417756,22.0575326633
"2,971.18487562",189.708718755,29.7118487562,"2,563.97527363","1,285.714953708",25.6397527363,"2,050.749","2,263.90727065",20.610538191,"2,236.55",143.14940171,22.4778844221
End Test of d = 2,,,,,,,,,,,
"3,101.52504146",102.62625418,31.0152504146,"2,486.8013267","1,435.24411692",24.868013267,"2,200.387","1,821.25247875",22.1144422111,"2,300.19633333",50.4738217847,23.1175510888
"2,852.48490879",33.2186369905,28.5248490879,"2,356.8172471","1,391.28644852",23.568172471,"2,191.338","1,937.23911111",22.0234974874,"2,298.318",112.635887497,23.0986733668
"2,924.47495854",239.423059593,29.2447495854,"2,612.4252073","1,332.15842244",26.124252073,"2,113.39466667","1,931.21843442",21.2401474037,"2,226.20266667",128.663705095,22.3738961474
"3,148.373466",229.935001469,31.48373466,"2,824.97313433","1,257.00805678",28.2497313433,"2,131.49633333","1,891.74888782",21.4220737018,"2,238.693",115.955746022,22.4994271357
"2,914.7681592",56.1438460661,29.147681592,"2,361.75124378",712.911125637,23.6175124378,"2,099.01566667","1,788.88237689",21.0956348409,"2,196.60366667",143.830289412,22.0764187605
"2,939.73996683",237.272517427,29.3973996683,"2,315.67628524","1,195.26680405",23.1567628524,"2,141.09433333","1,932.4963967",21.5185360134,"2,258.00033333",147.193945686,22.6934706868
"3,606.70646766",164.127790229,36.0670646766,"2,655.90580431","1,502.53084467",26.5590580431,"2,111.44566667","1,973.22463567",21.220559464,"2,223.053",169.549872889,22.342241206
"2,964.96583748",162.099840582,29.6496583748,"2,713.50713101","1,362.05898171",27.1350713101,"2,149.20566667","1,885.41395202",21.6000569514,"2,258.183",57.1138080892,22.6953065327
"2,964.4066335",53.6031471541,29.644066335,"2,722.67330017","1,021.29652568",27.2267330017,"2,113.93366667","1,967.79190804",21.2455644891,"2,229.365",107.067006226,22.405678392
"2,761.32868988",91.5089501867,27.6132868988,"2,370.45771144","1,225.30765396",23.7045771144,"2,107.07533333","1,893.43557275",21.1766365159,"2,216.33466667",61.0321478312,22.274720268
"2,684.38341625",156.581574608,26.8438341625,"2,406.75887231","1,209.00156256",24.0675887231,"2,178.17533333","1,925.33089893",21.8912093802,"2,289.71866667",186.524431754,23.0122479062
"2,948.26401327",111.269841385,29.4826401327,"2,669.26965174","1,231.00999341",26.6926965174,"2,102.619","1,887.1803698",21.1318492462,"2,212.279",86.4149901027,22.233959799
"3,204.51542289",161.367473013,32.0451542289,"2,600.12537313","1,648.51525143",26.0012537313,"2,183.12966667","1,914.99596942",21.941001675,"2,286.77233333",198.085192469,22.9826365159
"3,035.70945274",306.096135085,30.3570945274,"2,528.49618574","1,028.23510191",25.2849618574,"2,111.81733333","1,911.60278395",21.2242948074,"2,219.60866667",179.46919806,22.3076247906
"3,107.76318408",73.3945651193,31.0776318408,"2,722.64875622","1,157.64400128",27.2264875622,"2,167.88466667","1,914.55687083",21.7877855946,"2,278.522",151.101454905,22.899718593
"3,243.35721393",76.9551663285,32.4335721393,"2,665.44809287","1,063.69217574",26.6544809287,"2,127.42466667","1,942.91285967",21.3811524288,"2,241.67666667",135.106413636,22.5294137353
"3,070.55124378",78.8511698721,30.7055124378,"2,505.03946932","1,517.11716535",25.0503946932,"2,125.61","1,873.59756338",21.3629145729,"2,225.62066667",161.408055244,22.3680469012
"3,022.88490879",29.9399846877,30.2288490879,"2,861.2291874",614.44004508,28.612291874,"2,179.36","1,937.47961809",21.9031155779,"2,291.402",83.1590448545,23.0291658291
"3,038.03515755",55.3881120312,30.3803515755,"2,547.2013267","1,528.6502001",25.472013267,"2,103.53466667","1,981.27589782",21.1410519263,"2,216.22933333",152.534793783,22.2736616415
"2,965.18076285",307.671066831,29.6518076285,"2,599.5854063","1,418.40385303",25.995854063,"2,168.55066667","1,911.62739932",21.794479062,"2,277.892",69.5292006762,22.8933869347
"3,024.9709453",136.3737066419,30.249709453,"2,576.33953566","1,242.588916513",25.7633953566,"2,140.32461667","1,911.16319927",21.5108001675,"2,249.23355",124.842450301,22.6053623116
End Test of d = 3,,,,,,,,,,,
"2,831.34427861",60.2547596131,28.3134427861,"2,596.01691542","1,616.53821717",25.9601691542,"2,147.564","1,659.47311823",21.5835577889,"2,224.916",45.3076791711,22.3609648241
"2,691.16218905",100.173596345,26.9116218905,"2,665.68606965","1,230.573311",26.6568606965,"2,191.739","1,675.62649269",22.0275276382,"2,267.152",138.78389921,22.7854472362
"2,605.15820896",145.988865501,26.0515820896,"2,605.2960199","1,634.54555356",26.052960199,"2,148.515","1,674.71928433",21.5931155779,"2,230.15",50.2556189955,22.4135678392
"2,526.17014925",110.183115528,25.2617014925,"2,274.10348259","1,027.22095347",22.7410348259,"2,151.24725","1,633.09910109",21.6205753769,"2,225.74425",108.535208898,22.3692889447
"2,756.38905473",124.071265115,27.5638905473,"2,533.41691542","1,484.83787142",25.3341691542,"2,173.53575","1,659.36614701",21.844580402,"2,247.26825",93.8408356041,22.5856105528
"2,806.83283582",68.6780110101,28.0683283582,"2,416.5278607","1,187.57560454",24.165278607,"2,170.60775","1,631.02190805",21.8151532663,"2,241.73525",81.5373846657,22.5300025126
"2,959.1721393",170.491981583,29.591721393,"2,352.90696517",876.491745293,23.5290696517,"2,190.40375","1,658.73488901",22.0141080402,"2,265.24025",65.0215231529,22.7662336683
"2,907.15970149",87.7059940655,29.0715970149,"2,505.4159204","1,510.99750978",25.054159204,"2,165.36675","1,607.70522977",21.7624798995,"2,233.41475",97.4911553584,22.446379397
"2,205.69253731",62.1640922637,22.0569253731,"2,617.81044776",908.19519055,26.1781044776,"2,165.32725","1,555.98220843",21.7620829146,"2,232.33725",119.019292257,22.4355502513
"2,719.31343284",165.355220179,27.1931343284,"2,366.7641791","1,021.01327536",23.667641791,"2,183.33325","1,647.66035496",21.9430477387,"2,258.07525",74.0071649487,22.6942236181
"3,230.61094527",177.094441463,32.3061094527,"2,833.15124378","1,376.44112818",28.3315124378,"2,167.96475","1,755.11957286",21.7885904523,"2,253.15975",75.7315815355,22.644821608
"2,947.23930348",109.540697999,29.4723930348,"2,525.16517413","1,096.91184731",25.2516517413,"2,162.64425","1,638.93156029",21.7351180905,"2,234.77275",92.5801649315,22.4600276382
"2,843.22885572",229.926427984,28.4322885572,"2,692.62039801","1,086.10982313",26.9262039801,"2,143.44375","1,619.940675",21.5421482412,"2,218.20225",47.6368899987,22.2934899497
"2,712.09303483",192.369898341,27.1209303483,"2,567.96069652","1,038.09509668",25.6796069652,"2,155.686","1,625.12558024",21.6651859296,"2,225.265",79.354965129,22.3644723618
"2,498.00199005",126.840963031,24.9800199005,"2,371.02885572","1,308.16320076",23.7102885572,"2,151.593","1,672.3962051",21.6240502513,"2,224.396",132.938647426,22.3557386935
"2,733.9960199",41.476361218,27.339960199,"2,469.49004975","1,167.75176335",24.6949004975,"2,152.1905","1,622.00800694",21.6300552764,"2,220.682",72.8164102727,22.3184120603
"2,896.59452736",217.603135123,28.9659452736,"2,594.27064677","1,313.42691035",25.9427064677,"2,241.05175","1,726.11822186",22.5231331658,"2,314.85025",60.0101394401,23.2648266332
"3,039.86467662",56.3564050265,30.3986467662,"2,670.83034826","1,893.24529514",26.7083034826,"2,177.7655","1,620.45572513",21.8870904523,"2,254.2325",103.17412701,22.6556030151
"2,809.66368159",40.2238143543,28.0966368159,"2,538.68109453","1,111.79022299",25.3868109453,"2,168.02","1,707.45426772",21.7891457286,"2,250.173",99.9306201603,22.6148040201
"2,794.60447761",44.0590656933,27.9460447761,"2,334.03631841","1,287.09857631",23.3403631841,"2,136.459","1,619.68436722",21.4719497487,"2,206.646",91.6667992889,22.1773467337
End Test of d = 4,,,,,,,,,,,
"2,911.48298507",35.967810872,29.1148298507,"2,576.69134328",926.745631137,25.7669134328,"2,236.915","1,531.15738064",22.4815577889,"2,294.0554",112.041495765,23.0558331658
"2,687.3281592",107.561613047,26.873281592,"2,175.320199",937.625047531,21.75320199,"2,214.5896","1,513.37516848",22.2571819095,"2,273.358",79.6937396036,22.8478190955
"2,803.19044776",172.124361044,28.0319044776,"2,408.27502488",879.892994938,24.0827502488,"2,179.3888","1,481.76794812",21.9034050251,"2,235.422",46.1665307339,22.4665527638
"2,946.09233831",148.770559367,29.4609233831,"2,486.57751244","1,172.90886442",24.8657751244,"2,193.9246","1,481.63883644",22.0494934673,"2,250.465",111.493085167,22.6177386935
"2,171.21114428",105.887375912,21.7121114428,"2,477.24179104",933.106679528,24.7724179104,"2,168.332","1,467.38329969",21.792281407,"2,220.694",66.6286893763,22.3185326633
"1,836.49830846",99.9037047155,18.3649830846,"2,456.3478607","1,313.6828492",24.563478607,"2,217.2076","1,445.75720433",22.2834934673,"2,269.736",81.0741124404,22.8114170854
"2,668.22646766",177.847442078,26.6822646766,"2,441.28915423",952.42182737,24.4128915423,"2,223.921","1,390.83265525",22.3509648241,"2,269.7402",72.901314685,22.8114592965
"2,362.40995025",56.9426254445,23.6240995025,"2,696.28935323",979.234587244,26.9628935323,"2,226.7676","1,477.48460257",22.3795738693,"2,280.498",82.422777034,22.9195778894
"2,785.20995025",53.0995731825,27.8520995025,"2,528.49074627",819.287578168,25.2849074627,"2,209.253","1,542.27945738",22.2035477387,"2,270.5086",160.029686331,22.8191819095
"2,717.31462687",56.7313207688,27.1731462687,"2,612.70965174",932.983857879,26.1270965174,"2,211.576","1,492.91494509",22.2268944724,"2,268.1832",102.771476913,22.7958110553
"2,251.11402985",38.8138647819,22.5111402985,"2,431.24059701","1,170.79986214",24.3124059701,"2,161.3306","1,473.7756679",21.7219155779,"2,217.8866",92.331670077,22.2903175879
"2,606.55840796",120.62095753,26.0655840796,"2,507.41532338","1,518.89701652",25.0741532338,"2,173.7712","1,478.34472639",21.8469467337,"2,228.838",105.227354428,22.4003819095
"2,381.54706468",157.524733792,23.8154706468,"2,393.21751244","1,226.02597936",23.9321751244,"2,195.2426","1,531.9134561",22.0627396985,"2,254.739",66.1606076453,22.6606934673
"2,730.4358209",60.9362363164,27.304358209,"2,504.53333333","1,095.86902157",25.0453333333,"2,252.919","1,504.29258786",22.6424020101,"2,309.1046",156.993500302,23.207081407
"2,791.68199005",90.966803265,27.9168199005,"2,433.70746269",722.854919349,24.3370746269,"2,156.849","1,464.04413642",21.6768743719,"2,211.6234",161.853110873,22.2273708543
"2,346.92656716",200.683982778,23.4692656716,"2,476.50228856","1,095.07576568",24.7650228856,"2,198.6802","1,542.29420663",22.0972884422,"2,258.3258",88.1222754858,22.6967417085
"3,013.25850746",102.573424019,30.1325850746,"2,551.2839801","1,229.15364523",25.512839801,"2,200.1948","1,513.44859683",22.1125105528,"2,262.3928",136.850330591,22.7376160804
"2,719.28756219",150.012044274,27.1928756219,"2,580.31920398",940.49408079,25.8031920398,"2,179.5414","1,497.5089462",21.9049386935,"2,232.799",66.2279725947,22.4401909548
"2,871.08497512",50.2761936342,28.7108497512,"2,494.78248756","1,048.83167044",24.9478248756,"2,192.3304","1,440.00964339",22.0334713568,"2,244.512",81.7515639728,22.5579095477
"2,810.30606965",60.8516611396,28.1030606965,"2,399.0041791","1,341.5735722",23.990041791,"2,209.3756","1,489.31355387",22.2047798995,"2,262.3232",146.123028229,22.7369165829
End Test of d = 5,,,,,,,,,,,
"2,892.87263682",29.8945992054,28.9287263682,"2,473.55754561","1,207.92649583",24.7355754561,"2,165.34783333","1,365.67646095",21.7622897822,"2,212.4075",125.663741539,22.2352512563
"2,230.71077944",168.556144037,22.3071077944,"2,629.60895522",721.06843762,26.2960895522,"2,211.5655","1,391.13792977",22.2267889447,"2,260.3965",160.022597751,22.7175527638
"1,874.78872305",174.098231833,18.7478872305,"2,360.6305141",771.101061413,23.606305141,"2,190.44216667","1,364.17109774",22.0144941374,"2,235.6795",87.0909710973,22.4691407035
"1,927.53067993",240.203009956,19.2753067993,"2,598.28623549","1,174.36854892",25.9828623549,"2,197.68766667","1,407.46137337",22.0873132328,"2,245.67566667",92.8891226992,22.5696046901
"2,020.68092869",158.054775561,20.2068092869,"2,259.7681592","1,028.40704605",22.597681592,"2,213.977","1,311.06147747",22.2510251256,"2,252.58133333",94.1449582101,22.6390083752
"3,022.69286899",57.1149283275,30.2269286899,"2,447.87263682","1,308.98391154",24.4787263682,"2,218.04916667","1,325.02382557",22.2919514238,"2,258.50183333",120.372390819,22.6985108878
"1,802.57943615",62.6316179533,18.0257943615,"2,353.75854063",854.478965095,23.5375854063,"2,166.69016667","1,410.9284828",21.7757805695,"2,210.0115",77.3635003068,22.2111708543
"2,822.08358209",112.16651243,28.2208358209,"2,261.24046434",890.045126665,22.6124046434,"2,188.84266667","1,400.89900892",21.9984187605,"2,238.41366667",83.0571068151,22.4966197655
"2,846.0344942",93.6410477718,28.460344942,"2,750.13034826",807.434772444,27.5013034826,"2,209.32666667","1,383.83701495",22.2042881072,"2,254.042",152.430370113,22.6536884422
"1,988.86334992",182.693669986,19.8886334992,"2,272.17711443","1,268.36080844",22.7217711443,"2,238.61033333","1,396.69181219",22.4985963149,"2,283.55133333",86.2501231207,22.9502646566
"2,092.52537313",133.928580821,20.9252537313,"2,392.55024876","1,186.38532364",23.9255024876,"2,219.51883333","1,341.87738046",22.306721943,"2,263.4845",99.7640169391,22.7485879397
